"","x"
"1","21601000091"
"2","21602100131"
"3","21602200091"
"4","21602300221"
"5","21602300241"
"6","21602300261"
"7","21602300351"
"8","21602300471"
"9","21602400121"
"10","21602400201"
"11","21602400221"
"12","21602400731"
"13","21602400751"
"14","21602401061"
"15","21602600141"
"16","21602600311"
"17","21602601231"
"18","21602601251"
"19","21602601821"
"20","21602602381"
"21","21602700121"
"22","21602700241"
"23","23214100031"
"24","23214100051"
"25","23214201131"
"26","23214300031"
"27","23214400041"
"28","23214400111"
"29","23214400151"
"30","23214900261"
"31","23216000401"
"32","23216000421"
"33","23216000501"
"34","23216000511"
"35","23216000561"
"36","23216000611"
"37","23222000011"
"38","23223000041"
"39","23224000021"
"40","23224000191"
"41","23224000331"
"42","23224000391"
"43","23225000031"
"44","23226000311"
"45","23226000351"
"46","23227000041"
"47","23227000101"
"48","23227000111"
"49","23227000181"
"50","23228000111"
"51","23228000231"
"52","23229000011"
"53","23229000101"
"54","23229000131"
"55","23229000211"
"56","23229000561"
"57","23240300201"
"58","23240300271"
"59","23240400101"
"60","23240600091"
"61","23240600201"
"62","23240602811"
"63","23250600441"
"64","23250600471"
"65","23250600821"
"66","23262000491"
"67","23262000511"
"68","23262000551"
"69","23267000071"
"70","23267000081"
"71","23267000121"
"72","23267000501"
"73","23301400041"
"74","23301900201"
"75","23303800061"
"76","56194100121"
"77","56252300141"
"78","56252300151"
"79","56260500131"
"80","56298300091"
"81","56325000961"
"82","56327000131"
"83","56341000421"
"84","56380000191"
"85","56394000311"
"86","56410500061"
"87","56410500071"
"88","56410500241"
"89","56410500361"
"90","56410500471"
"91","56410700071"
"92","56410800201"
"93","56421000111"
"94","56421000121"
"95","56421000131"
"96","56421000221"
"97","56423000311"
"98","56424300091"
"99","56424500221"
"100","56424700011"
"101","56424700021"
"102","56424700161"
"103","56424700211"
"104","56424900031"
"105","56424900141"
"106","56427002911"
"107","56427002981"
"108","56427002991"
"109","56427008251"
"110","56429000251"
"111","56463000571"
"112","56490300091"
"113","56490501421"
"114","56821700091"
"115","56879100061"
"116","56900100381"
"117","71181100071"
"118","71181700121"
"119","71226500221"
"120","71226500321"
"121","71227000251"
"122","71247000501"
"123","71249000081"
"124","71290006581"
"125","71322300211"
"126","71381000141"
"127","72390800051"
"128","72530600221"
"129","72530800111"
"130","72541000051"
"131","72545000101"
"132","72546000201"
"133","72551000151"
"134","72554000071"
"135","72554000101"
"136","72554000141"
"137","72554000161"
"138","72554000171"
"139","72554000211"
"140","72555200091"
"141","72555800101"
"142","72556000041"
"143","72556000111"
"144","72556000191"
"145","72557300071"
"146","72557700071"
"147","72558300061"
"148","72558700031"
"149","72582200141"
"150","72582400101"
"151","72582400151"
"152","72582400251"
"153","72582400271"
"154","72582400331"
"155","72582400501"
"156","72582600021"
"157","72582600061"
"158","72582700471"
"159","72582800021"
"160","72582900031"
"161","72586000031"
"162","72587000271"
"163","72589000081"
"164","72589000111"
"165","72589000151"
"166","72591100241"
"167","72599200111"
"168","72608600081"
"169","72608800011"
"170","72608900011"
"171","72608900081"
"172","73112000161"
"173","73112000261"
"174","73112000371"
"175","73114000211"
"176","73114000611"
"177","73114000751"
"178","73114001061"
"179","73114001211"
"180","73116000251"
"181","73118000051"
"182","73118000161"
"183","73120000121"
"184","73120000131"
"185","73120000391"
"186","73120000521"
"187","73120000611"
"188","73120000701"
"189","73120000851"
"190","73130000061"
"191","73140400071"
"192","73140400131"
"193","73140400201"
"194","73140400281"
"195","73140500061"
"196","73140500111"
"197","73140700011"
"198","73140700361"
"199","73140800011"
"200","73140800061"
"201","73150600041"
"202","73150600051"
"203","73150600141"
"204","73150600181"
"205","73150600201"
"206","73150600211"
"207","73150600241"
"208","73150600321"
"209","73150600381"
"210","73150600401"
"211","73150600421"
"212","73150600431"
"213","73150600461"
"214","73150600481"
"215","73150600611"
"216","73160100011"
"217","73160100151"
"218","73160200051"
"219","73160200101"
"220","73160300051"
"221","73160400801"
"222","73160400811"
"223","73160400841"
"224","73160400871"
"225","73160401041"
"226","73160500021"
"227","73160500041"
"228","73160500091"
"229","73160500141"
"230","73160500191"
"231","73160800031"
"232","73160900031"
"233","73180100061"
"234","73180300011"
"235","73180400011"
"236","73180400131"
"237","73180500021"
"238","73180500291"
"239","73180700061"
"240","73190600061"
"241","73190600111"
"242","73190600151"
"243","73214000441"
"244","73218000111"
"245","73218000161"
"246","73218000231"
"247","73218000531"
"248","73220700181"
"249","73220700221"
"250","73220900011"
"251","73220900151"
"252","73240100241"
"253","73240200071"
"254","73240200121"
"255","73240200131"
"256","73240200261"
"257","73240200321"
"258","73240300071"
"259","73240500161"
"260","73240700181"
"261","73252000081"
"262","73252000141"
"263","73252000171"
"264","73254100061"
"265","73254300131"
"266","73254300151"
"267","73254400041"
"268","73254400101"
"269","73254400121"
"270","73254500021"
"271","73254700281"
"272","73254700311"
"273","73254700391"
"274","73254700401"
"275","73255000151"
"276","73256000111"
"277","73256000171"
"278","73256000231"
"279","73256000301"
"280","73258000041"
"281","73258000061"
"282","73258000081"
"283","73260300031"
"284","73260300101"
"285","73260300141"
"286","73260400101"
"287","73260400131"
"288","73260400401"
"289","73260500151"
"290","73260500181"
"291","73260700011"
"292","73260900391"
"293","73260901131"
"294","73260901631"
"295","73270200031"
"296","73270200201"
"297","73270600071"
"298","73282300331"
"299","73282400301"
"300","73282500071"
"301","73282800031"
"302","73285000111"
"303","73286000021"
"304","73286000301"
"305","73286000341"
"306","73290000201"
"307","73290000231"
"308","73290000261"
"309","73290001321"
"310","74100600071"
"311","74100600121"
"312","74100600181"
"313","74100600241"
"314","74100600271"
"315","74210000201"
"316","74210000331"
"317","74222700221"
"318","74222900141"
"319","74222900511"
"320","74223900011"
"321","74224000101"
"322","74225000031"
"323","74225000121"
"324","74225000191"
"325","74225000311"
"326","74226000171"
"327","74226000261"
"328","74227100141"
"329","74227100271"
"330","74227700041"
"331","74228000041"
"332","74228000061"
"333","74230700111"
"334","74241300241"
"335","74241700331"
"336","74242100031"
"337","74242300251"
"338","74242300281"
"339","74242300311"
"340","74243000041"
"341","74243000121"
"342","74244100171"
"343","74244300021"
"344","74244700171"
"345","74247000031"
"346","74247000101"
"347","74248300021"
"348","74248300071"
"349","74248300191"
"350","74248300231"
"351","74248300241"
"352","74249100101"
"353","74249300111"
"354","74249300141"
"355","74249300191"
"356","74249300461"
"357","74249300471"
"358","74249300481"
"359","74249300531"
"360","74252300041"
"361","74252300111"
"362","74252500041"
"363","74252500101"
"364","74252600031"
"365","74252600111"
"366","74252600201"
"367","74252600231"
"368","74252700151"
"369","74252900011"
"370","74255000091"
"371","74261000041"
"372","74262200031"
"373","74262700531"
"374","74262700551"
"375","74262800281"
"376","74262800311"
"377","74262800351"
"378","74262800371"
"379","74264300121"
"380","74265000021"
"381","74265000121"
"382","74266300071"
"383","74266300131"
"384","74266400031"
"385","74266400071"
"386","74266400451"
"387","74266400511"
"388","74266400591"
"389","74266700051"
"390","74266700101"
"391","74266700141"
"392","74266700171"
"393","74266700201"
"394","74266800021"
"395","74266800031"
"396","74266800071"
"397","74266800131"
"398","74266900041"
"399","74266900081"
"400","74267200031"
"401","74267200171"
"402","74267300111"
"403","74267300181"
"404","74267300191"
"405","74267400131"
"406","74267500041"
"407","74267600061"
"408","74267600151"
"409","74267600201"
"410","74267800071"
"411","74267800091"
"412","74267800151"
"413","74268300081"
"414","74268500061"
"415","74268700061"
"416","74268800051"
"417","74268900281"
"418","74269400041"
"419","74269400181"
"420","74269400201"
"421","74269400331"
"422","74269500051"
"423","74269600051"
"424","74269700031"
"425","74269800051"
"426","74269800211"
"427","74269900191"
"428","74269900231"
"429","74269900331"
"430","74269900351"
"431","74269900431"
"432","74269900481"
"433","74269900521"
"434","74269900761"
"435","74270100061"
"436","74270400051"
"437","74270500051"
"438","74270600071"
"439","74270800041"
"440","74281000041"
"441","74282500031"
"442","74282600011"
"443","74282600071"
"444","74282600081"
"445","74282600101"
"446","74282700071"
"447","74282700101"
"448","74282700201"
"449","74282700211"
"450","74282800011"
"451","74282900021"
"452","74284100021"
"453","74284100071"
"454","74284100101"
"455","74284100151"
"456","74284100161"
"457","74284300061"
"458","74284500031"
"459","74284500131"
"460","74284700181"
"461","74285000301"
"462","74286100011"
"463","74286100021"
"464","74286100031"
"465","74286200031"
"466","74286200251"
"467","74286200311"
"468","74286200351"
"469","74286300021"
"470","74286300061"
"471","74286300101"
"472","74286300121"
"473","74286300141"
"474","74286300171"
"475","74286300221"
"476","74286300261"
"477","74287200041"
"478","74287200101"
"479","74287200131"
"480","74287200321"
"481","74287200341"
"482","74287200371"
"483","74287200421"
"484","74287200431"
"485","74287200501"
"486","74287200541"
"487","74287300281"
"488","74287400051"
"489","74287400251"
"490","74287400341"
"491","74287400541"
"492","74287400621"
"493","74287600031"
"494","74287600111"
"495","74287600141"
"496","74287700091"
"497","74287800011"
"498","74287800071"
"499","74287900011"
"500","74287900061"
"501","74288100051"
"502","74288100131"
"503","74289100061"
"504","74289100081"
"505","74289500141"
"506","74289500201"
"507","74289700021"
"508","74291100031"
"509","74291100061"
"510","74291100071"
"511","74291100111"
"512","74291200051"
"513","74291200111"
"514","74291400061"
"515","74291400101"
"516","74291500031"
"517","74291500091"
"518","74291700041"
"519","74291800031"
"520","74291900061"
"521","74291900111"
"522","74291900161"
"523","74292100081"
"524","74292100101"
"525","74292100111"
"526","74292100141"
"527","74292100171"
"528","74292100221"
"529","74292100241"
"530","74292200011"
"531","74292300031"
"532","74292500061"
"533","74292500141"
"534","74293300111"
"535","74293400051"
"536","74293700011"
"537","74293900041"
"538","74294100021"
"539","74294100041"
"540","74294200021"
"541","74294200111"
"542","74294300051"
"543","74294400031"
"544","74294400161"
"545","74294400231"
"546","74294400311"
"547","74294400351"
